dbname,table_name,alert_seconds,alert_rowcount,alert_event,alert_solution,alert_sample_query,alert_querycount
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@7766066@81465933@,184.69899700,3690270,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1700697,1
prd_statsig,windowed_metrics_content_panel_recommendations_all,181.77779500,2908368,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1848450,33
prd_statsig,tmp_table_wnuluiodjsq6yzv2omzee_imagesearch_searchlite_rescorebyreferenceimages,180.71535500,6180720,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1876428,45
prd_statsig,t_rslocal_localhost@1438927@693658@,178.16114000,200,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1578998,9
prd_statsig,unit_day_covariate_metrics_search_more_prominent_search_bar,174.78446000,18343371,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1822874,2
prd_statsig,windowed_metrics_image_background_removal_model_incremental,173.76720200,14245130,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1832603,12
prd_statsig,results_cumulative_canvas_iq_landing_panel,164.27870900,944,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1872880,15
prd_dw,tbl_stg_cut_session_master,160.27027000,7084672,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1845376,42
prd_dw,cut_pass_end_base_data,156.39295500,0,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1679132,3
prd_dw,pillar5_user_funnel_firehose_events,140.32127500,15802394,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1852096,4
prd_statsig,t_rslocal_localhost@1781688@716097@,140.28511100,205324913,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1880683,4
prd_personalization,user_image_history_hourly,131.67195300,2473800,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1850972,9
prd_personalization,t_rslocal_localhost@1231715@716097@,130.54466900,98199411,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1841659,5
prd_statsig,tmp_table_wnuluiodjsq6yzv2omzee_single_cta_on_pdp_2doth49tjw0ebzaahpbtdc_50__00_1,127.73963100,2884336,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1832027,21
